filepath,time,speed
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00001.jpg,0.0,28.105569
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00002.jpg,0.05,28.105569
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00003.jpg,0.1,28.106527
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00004.jpg,0.15000000000000002,28.130404
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00005.jpg,0.2,28.109243
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00006.jpg,0.25,28.088572
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00007.jpg,0.30000000000000004,28.034211
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00008.jpg,0.35000000000000003,28.018491
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00009.jpg,0.4,27.986624
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00010.jpg,0.45,28.016352
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00011.jpg,0.5,27.981986
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00012.jpg,0.55,27.978625
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00013.jpg,0.6000000000000001,28.032331
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00014.jpg,0.65,27.960219
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00015.jpg,0.7000000000000001,27.937178
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00016.jpg,0.75,27.940599
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00017.jpg,0.8,27.908579
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00018.jpg,0.8500000000000001,27.898606
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00019.jpg,0.9,27.855982
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00020.jpg,0.9500000000000001,27.795581
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00021.jpg,1.0,27.850634
/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00022.jpg,1.05,27.839349
